month,Brooklyn,Manhattan,NYC,Queens
2007-01,,2531,2204,
2007-02,,2473,2170,
2007-03,,2481,2185,
2007-04,,2511,2199,
2007-05,,2534,2221,
2007-06,,2558,2240,
2007-07,,2597,2274,
2007-08,,2632,2301,
2007-09,,2649,2319,
2007-10,,2660,2332,
2007-11,,2681,2345,
2007-12,,2691,2353,
2008-01,,2694,2355,
2008-02,,2693,2358,
2008-03,,2698,2363,
2008-04,,2698,2363,
2008-05,,2698,2362,
2008-06,,2697,2362,
2008-07,,2697,2364,
2008-08,,2698,2366,
2008-09,,2686,2356,
2008-10,,2658,2333,
2008-11,,2628,2308,
2008-12,,2592,2277,
2009-01,,2557,2247,
2009-02,,2522,2218,
2009-03,,2494,2195,
2009-04,,2470,2174,
2009-05,,2452,2160,
2009-06,,2442,2151,
2009-07,,2443,2151,
2009-08,,2438,2147,
2009-09,,2438,2147,
2009-10,,2431,2141,
2009-11,,2419,2131,
2009-12,,2410,2124,
2010-01,1836,2415,2127,
2010-02,1833,2420,2131,
2010-03,1844,2423,2133,
2010-04,1850,2431,2139,
2010-05,1863,2444,2150,
2010-06,1882,2459,2164,
2010-07,1889,2475,2179,
2010-08,1900,2490,2192,
2010-09,1907,2506,2205,
2010-10,1921,2516,2215,
2010-11,1913,2523,2219,
2010-12,1930,2530,2227,
2011-01,1935,2542,2237,
2011-02,1939,2554,2247,
2011-03,1940,2568,2258,
2011-04,1962,2585,2274,
2011-05,1979,2599,2286,
2011-06,1992,2616,2302,
2011-07,2005,2635,2318,
2011-08,2021,2652,2332,
2011-09,2033,2665,2345,
2011-10,2045,2680,2357,
2011-11,2049,2684,2361,
2011-12,2048,2688,2364,
2012-01,2050,2696,2371,1758
2012-02,2062,2704,2378,1789
2012-03,2066,2717,2389,1798
2012-04,2087,2731,2401,1787
2012-05,2098,2748,2416,1805
2012-06,2111,2760,2428,1801
2012-07,2126,2777,2443,1810
2012-08,2141,2790,2454,1799
2012-09,2152,2800,2463,1809
2012-10,2165,2806,2469,1809
2012-11,2182,2811,2475,1819
2012-12,2194,2811,2477,1822
2013-01,2198,2813,2480,1822
2013-02,2204,2824,2488,1815
2013-03,2207,2831,2494,1818
2013-04,2221,2840,2503,1823
2013-05,2237,2856,2518,1837
2013-06,2255,2868,2529,1845
2013-07,2274,2880,2542,1862
2013-08,2288,2891,2552,1874
2013-09,2296,2900,2560,1883
2013-10,2305,2904,2564,1885
2013-11,2305,2903,2563,1880
2013-12,2305,2897,2558,1876
2014-01,2306,2900,2560,1880
2014-02,2311,2903,2564,1883
2014-03,2314,2911,2569,1887
2014-04,2326,2926,2582,1898
2014-05,2344,2945,2599,1904
2014-06,2357,2958,2611,1912
2014-07,2370,2972,2624,1928
2014-08,2386,2985,2637,1941
2014-09,2393,2992,2644,1955
2014-10,2393,2996,2647,1962
2014-11,2393,2996,2647,1963
2014-12,2396,2997,2648,1969
2015-01,2404,3001,2654,1977
2015-02,2410,3012,2662,1984
2015-03,2416,3024,2672,1987
2015-04,2429,3040,2685,1993
2015-05,2443,3060,2701,2003
2015-06,2457,3078,2717,2011
2015-07,2473,3092,2731,2029
2015-08,2485,3105,2743,2041
2015-09,2497,3111,2750,2048
2015-10,2498,3111,2751,2050
2015-11,2501,3106,2748,2047
2015-12,2500,3101,2745,2045
2016-01,2500,3100,2745,2050
2016-02,2499,3100,2745,2051
2016-03,2505,3107,2750,2056
2016-04,2513,3117,2760,2065
2016-05,2520,3132,2771,2071
2016-06,2528,3144,2781,2080
2016-07,2536,3153,2789,2086
2016-08,2543,3158,2795,2094
2016-09,2548,3157,2797,2097
2016-10,2545,3149,2791,2097
2016-11,2542,3136,2781,2091
2016-12,2533,3125,2772,2087
2017-01,2529,3117,2766,2086
2017-02,2527,3113,2764,2092
2017-03,2527,3113,2764,2094
2017-04,2532,3122,2771,2098
2017-05,2540,3134,2780,2099
2017-06,2549,3146,2791,2107
2017-07,2558,3155,2800,2116
2017-08,2568,3163,2807,2119
2017-09,2569,3162,2807,2119
2017-10,2563,3152,2798,2104
2017-11,2557,3136,2786,2094
2017-12,2553,3126,2777,2079
2018-01,2549,3119,2772,2075
2018-02,2548,3123,2773,2074
2018-03,2552,3129,2779,2080
2018-04,2561,3141,2789,2086
2018-05,2571,3159,2802,2095
2018-06,2583,3177,2818,2105
2018-07,2595,3191,2830,2115
2018-08,2605,3206,2843,2124
2018-09,2610,3213,2849,2132
2018-10,2607,3209,2846,2132
2018-11,2602,3202,2840,2129
2018-12,2593,3195,2833,2130
2019-01,2591,3192,2830,2128
2019-02,2595,3197,2834,2130
2019-03,2607,3206,2843,2135
2019-04,2621,3221,2856,2137
2019-05,2639,3239,2874,2154
2019-06,2654,3257,2890,2166
2019-07,2671,3274,2906,2179
2019-08,2690,3288,2922,2190
2019-09,2704,3294,2930,2193
2019-10,2711,3290,2930,2196
2019-11,2715,3286,2928,2193
2019-12,2716,3278,2924,2189
2020-01,2721,3277,2924,2188
2020-02,2727,3276,2927,2192
2020-03,2734,3264,2923,2198
2020-04,2732,3244,2911,2192
2020-05,2721,3208,2887,2187
2020-06,2703,3170,2859,2178
2020-07,2683,3121,2824,2168
2020-08,2655,3059,2779,2149
2020-09,2621,2988,2727,2126
2020-10,2579,2912,2668,2093
2020-11,2538,2845,2617,2065
2020-12,2504,2790,2572,2032
2021-01,2479,2743,2535,2002
2021-02,2463,2716,2513,1986
2021-03,2460,2706,2505,1973
2021-04,2470,2719,2514,1969
2021-05,2494,2759,2543,1969
2021-06,2528,2823,2591,1988
2021-07,2571,2906,2652,2011
2021-08,2617,2997,2721,2048
2021-09,2663,3080,2785,2081
2021-10,2705,3155,2844,2118
2021-11,2737,3221,2895,2153
2021-12,2764,3280,2938,2179
2022-01,2801,3337,2984,2206
2022-02,2836,3393,3028,2226
2022-03,2874,3453,3073,2243
2022-04,2916,3512,3122,2262
2022-05,2957,3576,3174,2290
2022-06,3009,3634,3229,2326
2022-07,3056,3683,3276,2361
2022-08,3095,3726,3315,2388
2022-09,3127,3752,3342,2409
2022-10,3146,3748,3347,2425
2022-11,3135,3731,3335,2429
2022-12,3128,3718,3325,2429
2023-01,3132,3712,3325,2439
2023-02,3130,3719,3329,2445
2023-03,3142,3733,3340,2450
2023-04,3160,3760,3362,2464
2023-05,3184,3789,3388,2484
2023-06,3211,3820,3416,2506
2023-07,3242,3846,3442,2528
2023-08,3266,3864,3461,2542
2023-09,3280,3860,3463,2543
2023-10,3282,3842,3454,2546
2023-11,3272,3818,3439,2543
2023-12,3255,3800,3425,2544
2024-01,3259,3797,3425,2545
2024-02,3269,3807,3434,2551
2024-03,3287,3830,3454,2562
2024-04,3308,3861,3478,2569
2024-05,3324,3903,3506,2584
2024-06,3349,3941,3536,2600
2024-07,3371,3972,3561,2612
2024-08,3385,3993,3579,2630
2024-09,3390,3995,3582,2634
2024-10,3386,3983,3575,2636
2024-11,3377,3973,3567,2630
2024-12,3376,3964,3563,2632
2025-01,3385,3967,3568,2631
2025-02,3390,3984,3578,2635
2025-03,3412,4020,3604,2644
2025-04,3442,4058,3633,2647
2025-05,3471,4101,3666,2656
2025-06,3499,4148,3703,2673
2025-07,3520,4191,3736,2700
2025-08,3545,4230,3767,2723
2025-09,3563,4255,3788,2735
2025-10,3565,4252,3787,2736
2025-11,3559,4241,3780,2740
2025-12,3550,4234,3772,2739
2026-01,3556,4231,3771,2729
2026-02,3562,4252,3782,2728
